Nom de l'UE;Groupe 1;Groupe 2;Groupe 3;
anglais;86 sur 500;
anglais ;71 sur 500;
anum;19 sur 32;
aps;21 sur 32;
ar;30 sur 32;
bium;18 sur 32;
bmc;0 sur 32;
ca;16 sur 32;
cge;32 sur 32;
comnum;1 sur 32;
cpa;27 sur 32;
cps;28 sur 32;
dj;19 sur 32;20 sur 32;
ecfa;4 sur 32;
flag;12 sur 32;
fosyma;32 sur 32;
fpga;11 sur 20;8 sur 8;7 sur 8;
hpc;21 sur 32;
iamsi;32 sur 32;
ig3d;17 sur 32;
ihm;31 sur 32;
ioc;30 sur 40;
isec;11 sur 32;
ml;2 sur 32;28 sur 32;
mll;6 sur 32;
mmcn;0 sur 32;
multi;29 sur 40;
paf;29 sur 32;
pc2r;30 sur 32;
pnl;40 sur 40;
qiintro;8 sur 32;
ra;44 sur 50;
rital;23 sur 32;
rout;1 sur 32;
rp;30 sur 32;
sam;17 sur 32;
sbas;0 sur 32;
sdm;0 sur 32;
sftr;24 sur 32;
srcs;28 sur 32;
projet;22 sur 500;
