Parcours;numero;ue obtenues
and;1;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);dj (2);fosyma (1);rp (1)
and;2;1 , 2 , 4 , 5;anglais (1);ra (1);dj (1);fosyma (1);ihm (1)
and;3;1 , 2 , 3 , 4;ra (1);ihm (1);fosyma (1);dj (1)
and;4;1 , 2 , 4 , 5;anglais (1);ra (1);rp (1);dj (2);iamsi (1)
and;5;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);ihm (1);fosyma (1);dj (1)
and;6;1 , 2 , 3 , 4;anglais (1);ra (1);ihm (1);dj (1);iamsi (1)
and;7;1 , 2 , 3 , 4;anglais (1);ra (1);ihm (1);dj (1);iamsi (1)
and;8;1 , 2 , 3 , 5;anglais (1);ra (1);iamsi (1);dj (2);rp (1)
and;9;1 , 2 , 3 , 4;anglais (1);ra (1);rp (1);dj (2);ihm (1)
and;10;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);ihm (1);fosyma (1);rp (1)
and;11;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);ihm (1);fosyma (1);dj (1)
and;12;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);fosyma (1);ihm (1);dj (1)
and;13;1 , 2 , 4 , 5;anglais (1);ra (1);iamsi (1);dj (2);rp (1)
and;14;1 , 2 , 3 , 4;anglais (1);ra (1);fosyma (1);rp (1);dj (2)
and;15;1 , 2 , 4 , 5;anglais (1);ra (1);fosyma (1);dj (1);ihm (1)
and;16;1 , 2 , 3 , 4;anglais (1);ra (1);rp (1);ihm (1);dj (2)
and;17;1 , 2 , 4 , 5;anglais (1);ra (1);fosyma (1);dj (1);ihm (1)
and;18;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);fosyma (1);dj (2);rp (1)
and;19;1 , 2 , 3 , 4;ra (1);rp (1);fosyma (1);ihm (1)
and;20;1 , 2 , 3 , 5;anglais (1);ra (1);dj (1);fosyma (1);ihm (1)
and;21;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);dj (2);rp (1);fosyma (1)
and;22;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);ihm (1);dj (1);fosyma (1)
and;23;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);dj (1);ihm (1);fosyma (1)
